chr_clinical_care_id,fips_code,uninsured,uninsured_numerator,uninsured_denominator,primary_care_physicians,primary_care_physicians_numerator,primary_care_physicians_denominator,ratio_of_population_to_primary_care_physicians,dentists,dentists_numerator,dentists_denominator,ratio_of_population_to_dentists,mental_health_providers,mental_health_providers_numerator,mental_health_providers_denominator,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,uninsured_adults,uninsured_adults_numerator,uninsured_adults_denominator,uninsured_children,uninsured_children_numerator,uninsured_children_denominator,other_primary_care_providers,other_primary_care_providers_numerator,other_primary_care_providers_denominator,ratio_of_population_to_other_providers
00fc0193,17117,0.059535683,2149,36096,0.000242046,11,45446,4131.454546,0.0003531,16,45313,2832.0625,0.000529649,24,45313,1888.041667,4784,0.44,0.35,0.07232267,1924,26603,0.025087456,251,10005,0.000507581,23,45313,1970.130435
011fe0b9,26099,0.063941519,46184,722285,0.000539377,470,871375,1853.989362,0.000861952,754,874759,1160.157825,0.001865657,1632,874759,536.0042892,6246,0.41,0.49,0.075858518,40957,539913,0.029872214,5753,192587,0.000640176,560,874759,1562.069643
01290563,48211,0.239547038,825,3444,0.000994036,4,4024,1006,0,0,3825,-3825,0.000261438,1,3825,3825,3562,0.36,0.34,0.2734375,595,2176,0.182299546,241,1322,0.000522876,2,3825,1912.5
012eb0a7,16039,0.135206243,3032,22425,0.000671066,18,26823,1490.166667,0.000880443,24,27259,1135.791667,0.001394035,38,27259,717.3421053,3321,0.26,0.23,0.1728442,2728,15783,0.047227036,327,6924,0.001027184,28,27259,973.5357143
012ef6e3,48171,0.238419401,4483,18803,0.001163402,31,26646,859.5483871,0.000708849,19,26804,1410.736842,0.000895389,24,26804,1116.833333,2211,0.5,0.51,0.264408042,3551,13430,0.178142655,1009,5664,0.000559618,15,26804,1786.933333
013587d8,34011,0.120921977,14511,120003,0.000432679,66,152538,2311.181818,0.000649127,98,150972,1540.530612,0.000940572,142,150972,1063.183099,7535,0.4,0.47,0.152819848,12966,84845,0.045756757,1693,37000,0.000490157,74,150972,2040.162162
0143976b,17169,0.068372943,374,5470,0.000284293,2,7035,3517.5,NULL,0,6907,NULL,0.000723903,5,6907,1381.4,4029,0.43,0.33,0.082330284,342,4154,0.026447463,37,1399,0.000579123,4,6907,1726.75
01793c7b,19125,0.041996558,1098,26145,0.000966621,32,33105,1034.53125,0.000598677,20,33407,1670.35,0.001017751,34,33407,982.5588235,3318,0.55,0.58,0.050671451,932,18393,0.022551783,184,8159,0.001047685,35,33407,954.4857143
017e3ac6,47147,0.100855531,6024,59729,0.000356242,25,70177,2807.08,0.000295725,21,71012,3381.52381,0.000633696,45,71012,1578.044444,4794,0.36,0.51,0.12530598,5375,42895,0.041050254,727,17710,0.00092942,66,71012,1075.939394
0194d2b4,51163,0.119171928,1963,16472,0.000926784,21,22659,1079,0.0000439522,1,22752,22752,0.0000439522,1,22752,22752,3572,0.5,0.49,0.137195847,1731,12617,0.063065265,258,4091,0.000219761,5,22752,4550.4
01ecd36f,48461,0.226209548,706,3121,0.000546001,2,3663,1831.5,0,0,3671,-3671,NULL,0,3671,NULL,5164,0.28,0.2,0.256335283,526,2052,0.172321429,193,1120,0.001089621,4,3671,917.75
020f5d12,39029,0.076913367,6093,79219,0.000426865,44,103077,2342.659091,0.000253251,26,102665,3948.653846,0.001022744,105,102665,977.7619048,5529,0.41,0.5,0.086757757,5086,58623,0.049871418,1086,21776,0.000525983,54,102665,1901.203704
